Handle;Title;Description;Created;Updated;Vendor;Product Type;Tags;Max price;Min price;Variant 1;Variant 1 price;Variant 1 price to compare;Variant 1 Featured Image URL;Variant 2;Variant 2 price;Variant 2 price to compare;Variant 2 Featured Image URL;Variant 3;Variant 3 price;Variant 3 price to compare;Variant 3 Featured Image URL;Variant 4;Variant 4 price;Variant 4 price to compare;Variant 4 Featured Image URL;Variant 5;Variant 5 price;Variant 5 price to compare;Variant 5 Featured Image URL;Image 1 URL;Image 2 URL;Image 3 URL;Image 4 URL;Image 5 URL;Image 6 URL;Image 7 URL;Image 8 URL;Image 9 URL;Image 10 URL;Option 1;Option 2;Option 3
echo-4th-gen-smart-speaker-with-alexa;Amazon Echo 4th Gen Smart Speaker;"Start or expand your Amazon Alexa ecosystem with the Amazon Echo 4th Gen. Equipped with dual-band Wi-Fi and a microphone array, Amazon Alexa connects to your home’s wireless network and allows you to intuitively play music, check the weather and traffic reports, hear sports scores, and more. Bluetooth is also onboard, enabling the Echo to wirelessly pair and play audio from a variety of audio sources, such as smartphones and tablets.The Amazon Echo 4th Gen stands 5.2? tall with a 5.7? diameter and incorporates a 3? woofer and two 0.8? tweeters to produce full-range sound. The 1/8? audio jack can be used as either an input or an output.
Start or expand your Amazon Alexa ecosystem with the Amazon Echo 4th Gen
Equipped with dual-band Wi-Fi and a microphone array, the 4th Gen Echo connects to your home’s wireless network and allows you to intuitively play music, check the weather and traffic reports, hear sports scores, and more with Amazon Alexa. Bluetooth is also onboard, enabling the Echo to wirelessly pair and play audio from a variety of audio sources, such as smartphones and tablets.
The Amazon Echo 4th Gen stands 5.2? tall with a 5.7? diameter and incorporates a 3? woofer and two 0.8? tweeters to produce full-range sound. The 1/8? audio jack can be used as either an input or an output.
Versatile Music Streaming
Use your voice to play a song, artist, or genre through Amazon Music, Apple Music, Spotify, Pandora, and more. With compatible Echo devices in different rooms, you can fill your home with music. You can also listen to Audible, podcasts, radio stations, or pair with compatible Fire TV devices to voice control movies and entertainment.
Smart Home Control
Connect and manage your Zigbee-enabled smart home devices with the built-in hub. Just power on your device and say, “Alexa, discover my devices”. Alexa will automatically detect and set them up so you can control lights, plugs, and more with your voice. Mpreover, you can enable Alexa Guard to get Smart Alerts if your Echo device detects the sound of smoke alarms, carbon monoxide alarms, or glass breaking. Following a future firmware update, the hub will also work with Ring Smart Lighting.
Alexa Guard Helps Keep Your Home Safe
Set up Guard in the Alexa app to get mobile alerts if the Echo detects the sound of a smoke alarm or glass breaking while you’re away. An optional Guard Plus subscription unlocks additional features, including an emergency helpline you can call with just your voice.
Alexa Skills
With tens of thousands of skills and counting, Alexa’s capabilities are always expanding. Skills are like apps and help you do more, like play relaxing sounds or test your music knowledge. It also lets you check the traffic, weather, and more.
Keep Your Family in Sync
Use multiple Alexa devices like an intercom system and talk to any room in the house with an Alexa device using Drop In and Announcements. Let everyone know that dinner is ready, or remind the kids that it’s bedtime. You can also make hands-free calls to almost any phone number in the US, Canada, Mexico, and the UK to stay in touch with friends and family.
Alexa for Kids
Make the Echo kid-friendly by enabling Amazon FreeTime in the Alexa app. It can automatically filter explicit songs, call approved contacts, set time limits, or review activity with parental controls in the Amazon Parent Dashboard. An optional Amazon Kids+ (formerly FreeTime Unlimited) subscription unlocks additional features, including thousands of hours of Audible books, interactive games, and educational skills.
Designed to Protect Your Privacy
The Echo has a microphone off button that electronically disconnects the microphones. You also have control over your voice recordings, allowing you to view, hear, or delete them at any time. Additional privacy features include wake word technology and streaming indicators.
Engineered for Easy Setup and Use
After plugging in the Echo, connect to the internet with the Alexa app on your mobile device, then ask Alexa for music, weather, news, for instance.
Eco-Friendly Design
The Echo is made from 50% post-consumer recycled plastics and 100% post-consumer recycled fabric. The cable and adapter are all made from 100% recycled die-cast aluminum. It automatically enters Low Power Mode when it is idle, in certain user configurations. 99% of the packaging is made of wood fiber-based materials from responsibly managed forests or recycled sources. In addition, Alexa will help you track and manage the energy usage of all your Alexa-connected devices via an energy dashboard in the Alexa app.
Additional Features

Zigbee + Sidewalk smart home hub
Bluetooth streaming from your compatible mobile device to the Echo or from the Echo to your compatible speaker AVRCP for voice control of compatible connected mobile devices. Not supported by Mac OS X devices
Neodymium woofer
The Alexa app is compatible with Fire OS, Android, and iOS devices
Various accessibility features related to vision, mobility, and speech
Alexa speaks English and Spanish
";2022/10/20;2022/11/04;Amazon;Wifi Smart Hub;"Amazon
Amazon Echo
Black Friday
Bluetooth
Smart Home
Voice Smart Controllers
Wifi";2999;2999;Charcoal;2999;1893,11;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/alexa4th.png?v=1666268226;;;;;;;;;;Colour (Charcoal);;
1-5-inch-3-24v-5-200l-min-yf-dn40-electric-water-flow-sensor-yf-dn40;YF-DN40 electric water flow sensor (YF-DN40);"


Connection mode:Red IN positive electrodeYellow OUT signal output line.The black GND receives the negative pole.


Matters needing attention1, the water quality is too bad, please add the filter net in the inlet.2, do not exceed flow range to use.







Rated voltage DC=5V water pressure > 1.75mpa.Working voltage range DC5 ~ 18V. > 100 m insulation resistance ? > 100 m ?The accuracy is consistent with 2 ~ 150L\MIN.flow pulse characteristics f=(0.5*Q) Q=L/Min.72h after placing 72h in the -20 temperature test, 1h was placed at normal temperature, and the accuracy was within 5% of the first measured value.in the temperature of 85 ? high temperature test place after 72 h, placed 1 h at room temperature, within the plus or minus 5% accuracy in measurement for the first time

";2020/07/11;2022/11/07;E7WIN;Electronics;"Development
Electronics DIY
Sensor
Smart Home
Water Flow
Wifi";599;599;Default Title;599;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/YF-DN40.png?v=1594465366;;;;;;;;;;Title (Default Title);;
ezviz-hb8-battery-powered-pan-tilt;EZViz – HB8 Battery Powered Pan & Tilt;"OVERVIEWMeet EZVIZ’s first Battery-Powered Pan & Tilt Security Camera, the HB8. It’s truly a one-of-a-kind! Capturing details from all directions, the HB8 2K+ can “see” in 360 degrees with incredibly sharp resolution, and provides free on-device storage to auto-record nearby activity. With its ultra-long, 210-day battery life, the HB8 revolutionizes the complex installation of an outdoor camera while performing as well as its wired equivalent. And with optional solar power, the HB8 gets even better
 

2K+ Resolution
360° Panoramic Coverage
Up to 210 Days of Battery Life¹ (10400 mAh)
Free 32 GB eMMC Storage
Smart Human Motion Detection
Auto-Tracking
Color Night Vision
Active Defense
Weatherproof Design
Two-Way Talk
Customizable Voice Alerts
H.265 Video Compression
Works with EZVIZ Solar Panel for Battery Charging2
Smart Integration with Google Assistant & Amazon Alexa




In the box– HB8 2K+ Camera– Drilling Template– USB Cable– Screw Kit– Quick Installation Guide– Regulatory Information– Quick Start Guide
CE / FCC / WEEE / RoHS / REACH / UL";2022/10/04;2022/12/19;EzViz;Camera;"Camera
Outdoor
Smart Home
Wifi
Works with Alexa
Works with Google Home";3499;3499;Default Title;3499;3799;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/HB8.png?v=1664862846;;;;;;;;;;Title (Default Title);;
sonoff-wifi-zigbee-motion-sensor;Sonoff Zigbee Motion Sensor;"

Overview


If your concern is not only about home security but about using motion to turn on or off the light, well, SONOFF SNZB-03 maybe makes you feel amazing.
This ZB motion sensor is an extra-handy smart device for placing anywhere in your home to detect motion and trigger alarms. That means the sensor will send an instant alert notification to your mobile phone whenever the motion is detected if this security system is armed. If you have a SONOFF ZBBridge, you can connect the sensor to it to activate Wi-Fi devices, not merely ZB devices. For example, you can set a scene for your living-room light so that it will automatically turn on when you walk through the living-room. The new camera feature is used to make you know who is approaching your home and capture the video ever earlier than before. Boasts 110°view field and 6m detection rang and you can early receive an alert message of someone’s presence, accordingly taking measures to reduce the possibility that your house is threatened. Share control is available for multiple users to check and monitor your home together. Easy and tool-free installation, 3M adhesive installation significantly saves your time. Powered by the battery which is convenient to stick it on any place that you want to monitor. 


Feature:

- Create smart scenes to activate Wi-Fi smart devices.
- Detect movement and trigger alert messages.
- Turn on/off the devices through your movement.
- Work with the SONOFF camera to monitor your home.
- 6m detection distance and 110°viewing angle.
- Share the sensor to your family to together keep eyes on your home.
- 3-month history records check.
- Low-battery notification.
- Quick peel and stick installation.

- Requires the SONOFF ZBBridge to work




Specification of SONOFF SNZB-03:

Battery: 3V(CR2450);
Wireless protocol: ZB (IEEE 802.15.4);
Material: PC;
Dimension: 35X39X28mm

Download Center:

SONOFF SNZB-03 User Manual
SONOFF SNZB-03 Quick Installation Guide

Package included:

1 x SONOFF SNZB-03 Motion Sensor
CR2032 Battery not included 











";2020/07/15;2022/12/19;Sonoff;Sensor;"Ewelink
Humidity Sensor
Sensor
Smart Home
Sonoff
Wifi
Works with Alexa
Works with Google Home
Zigbee";229;229;Default Title;229;299;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/ZigMotion.png?v=1597858398;;;;;;;;;;Title (Default Title);;
chromecast-with-google-tv-4k-hdr-snow;Chromecast with Google TV 4K HDR- Snow;"PRODUCT DESCRIPTION
Unlocking a treasure trove of content

Get access to all the movies, TV shows, music, and streaming entertainment you love in high resolution (up to 4K HDR) via Google TV and Android apps, or by streaming from a compatible device (note: subscriptions may be required to access all content; 4K content requires a 4K-capable TV and a reliable internet connection)
Cast directly from your phone or tablet to your smart TV with ease
Get personalised recommendations based on your subscriptions, viewing habits, and content you own
Home screen puts your movies and TV shows from all your services in one place, so you don't have to switch from app to app to find your favourites
Watchlist makes it easy to mark content so you can view it later

Control at your fingertips and via your voice

Stream content directly from your compatible Android or iOS smartphones and tablets, Mac and Windows laptops, Chromebooks, and other devices
Voice remote lets you use your voice controls and Google Assistant to search for specific shows, display recommendations, control the volume, switch inputs, play music, and more
Dedicated YouTube and Netflix buttons on the remote give you one-press convenience (note: subscriptions may be required)
If you can't find the remote, use other Google speakers and displays (sold separately) to control your TV with your voice

Stunning video and audio quality

Supports resolutions up to 4K at 60fps and high dynamic range (HDR) for stunning picture quality
Even if you don't have a 4K-enabled TV, Chromecast delivers the best possible visuals for your TV
Dolby Vision, HDR10, and HDR10+ support ensures images with impressive brightness, contrast, and colour
Support for Dolby Digital, Dolby Digital Plus, and Dolby Atmos (pass-through) enables high-quality audio when it's available on your content
Pair with compatible Google speakers (sold separately) to fill your home with sound, and control everything using your voice or the app

Easy to connect and install

Works with almost any TV with an HDMI port; simply plug it in, connect to Wi-Fi, and start streaming
Alternatively, you can use the optional ethernet adapter to connect directly to your router
Wi-Fi (802.11ac, 2.4GHz/5GHz) and Bluetooth give you quick, easy connectivity options

Even more features

Smart home integration lets you control a variety of other Google Home devices (sold separately) so you can dim the lights, adjust the temperature, and much more using voice controls
Watch what's going on around your house by watching the feed for your Nest Cam (sold separately) on your TV
Family-friendly Kids Mode gives you a way to create profiles for children to filter age-appropriate content and limit watching times
View a slideshow of your pictures from your Google Photos library on your TV
49% of Chromecast's plastic parts are made with recycled materials, helping keep waste out of landfills

Required accessories (sold separately)

HDMI cable to connect to your TV's HDMI port
Wi-Fi network (wireless router) or ethernet connection for internet access
Supported Wi-Fi-enabled device
PRODUCT SPECIFICATIONS

Remote Control Included: Yes
Voice Control: Yes
Google Cast Compatible: Yes
Android TV: Yes
Voice Assistant Built-In: Google Assistant
Works with Google Assistant: Yes
Maximum Resolution: 4K Ultra HD
Colour: Snow
Width: 6.11 cm
Height: 1.25 cm
Depth: 16.2 cm
Weight: 0.06 kg



";2022/09/15;2022/12/19;Google;TV Box;"Accessory
Chrome Cast
Smart Home
Wifi
Works with Google Home";1499;1499;Default Title;1499;1999;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/cast.png?v=1663249520;;;;;;;;;;Title (Default Title);;
sonoff-nfc-tag;Sonoff NFC-Tag;"?Chip Feature?215 chip has 540 bytes larger capacity, and can be read and written more than 10,000 times.?Wide Compatible?Compatible with NFC-enabled phones (iOS 13 and above, Android with NFC technology)?Metal Resistant Capacity?Built-in anti-metal layer for use on metal surfaces. laminated white PVC cards with glossy finish and waterproof PVC material, effectively protecting the NFC chip inside.?Easy to Use?Tap the NFC Tag with your phone to turn on the smart devices with ease.?Convenient?You can carry it with ease and use it wherever, or stick it on the wall or desk.
 







";2022/08/17;2022/12/19;Sonoff;NFC;"ewelink
NFC Tag
Smart Home
Sonoff
Wifi
Works with Alexa
Works with Google Home";59;59;Default Title;59;109;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/nfstag.png?v=1660715136;;;;;;;;;;Title (Default Title);;
sonoff-th16-origin-sensor-sold-separately;Sonoff TH16 Origin (Sensor sold separately);"?6-Month Temp & Humi Historical Data by Hours? Support to check the temp & hum history data by hour, day and month. Past 6-month history data can be exported in .xlsx format and accurate to hour.?Local Automatic Control?Support LAN control, the device can turn on/off automatically according to the temp & humi thresholds at different time periods. You can set 8 automatic control programs for you to save electricity bills and create comfortable surroundings.?Voice Control?Compatible with Alexa, Google Assistant. Just speak out your command, they can do on/off as you say, and check the temperature and humidity for you.?Smart Scenes?TH Origin can trigger other smart devices when the temperature and humidity reach the threshold or the device switches on or off. The device on, off, and invert can also as execute action.
Note 3: If you already have the 2.5mm Audio jack sensor (Si7021/AM2301/DS18B20) and want to use it with the new TH Origin, you can click to buy the RJ11 adapter.
 













";2022/08/17;2022/12/19;Sonoff;Smart Switch;"16A
ewelink
Relay
Sensor
Smart Switch
Sonoff
th20
Wifi
Works with Alexa
Works with Google Home";329;329;Default Title;329;329;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/originth.png?v=1660715490;;;;;;;;;;Title (Default Title);;
sonoff-pow-r320-elite;Sonoff POW R320 Elite;"?LCD Screen?Track of power, current, voltage, and cumulative power consumption of your appliances in real-time on the LCD screen.
?6-Month Consumption History Data by Hour? Power consumption data (accurate to hours) can be kept for up to 6 months which can be exported to excel on your phone.?Overload Protection?You can set power, current, and voltage threshold. Once any condition is met, the POW Elite will be turned off to protect your appliances.?Fully Functional?POW Elite has all the most basic functions, like App control, voice control, LAN control, timing schedule, inching setting, power on state, etc.
 
















";2022/08/17;2022/12/19;Sonoff;Smart Switch;"ewelink
POW
Power Monitoring
relay
Smart Home
Smart Switch
Sonoff
Wifi
Works with Alexa
Works with Google Home";499;499;Default Title;499;599;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/powr2d.png?v=1660715289;;;;;;;;;;Title (Default Title);;
l3-smart-led-light-strip-kit-5m-1;L3 Smart LED Light Strip kit 5M;"











";2022/08/17;2022/12/19;Sonoff;LED Driver;"Ewelink
LED
RGB
Smart Home
Sonoff
Wifi
Works with Alexa
Works with Google Home";499;499;Default Title;499;599;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/L3-5M-1.png?v=1660714696;;;;;;;;;;Title (Default Title);;
milney-hub;Milney Hub;"The Milney Home Assistant Hub
Fully pre-configured and customised for you. Plug & Play.
If you take your privacy seriously and are looking to automate your home using multiple different devices and brands, the Milney Team have the perfect solution for you.  Regardless of if you are an Apple or Android user, have existing smart automation devices or looking to start from scratch, leveraging Home Assistant pre-configured and managed with optional Milney Care, you will be able to automate your life, safely, securely and quickly, by starting with The Milney Hub.
Our ambition is to provide EPIC products.

Enriching lives, while
Protecting people, using
Intelligent systems, in a
Cost-Effective way

Let us make your home EPIC!
Package includes:

Pre-configured and installed Home Assistant Platform
Raspberry Pi 
Power Supply
Network Cable


Smart Home Compatibility:- See over 2000 Integrations here";2022/08/12;2022/09/07;Milney;;"Home Assistant
Raspberry Pi
Wifi
Works with Alexa
Works with Google Home";4499;4499;Default Title;4499;3745;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/HA-1.png?v=1660293877;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/HA-2.png?v=1660293877;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/HA-3.png?v=1660293877;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/HA-4.png?v=1660293877;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/HA-5.png?v=1660293877;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/HA-6.png?v=1660293877;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/HA-7.png?v=1660293877;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/HA-8.png?v=1660293877;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/HA-9.png?v=1660293877;;Title (Default Title);;
sonoff-smart-load-shedding-sensor;Sonoff Smart Load Shedding Sensor;"The Load Shedder is a smart power state monitor that can alert you when your power goes off and turn off devices automatically.The load shedding device consists of a Sonoff device monitoring relay that connects to Eskom power and the Sonoff device is powered from the invertor power.
This product is designed for certified installers and electrician’s only. This comes in component form and needs to be assembled, wire not included.
*Currently only available through our current distribution channel. If you would like to become a part of our distribution channel.

Description
The Load Shedder is a smart power monitor that can alert you when your power goes off and turn off high load devices automatically. This come a individual components and needs assembled.
The load shedding device consists of a Sonoff unit connected to a relay that has its coil connected to Eskom power and the Sonoff unit is powered from the inverter power.
This unit has been in field testing for over a year and we are very comfortable that, assembled and installed correctly, can compliment any inverter system. It will automatically shut down pool pumps, geysers, dishwashers and any home automation devices that you deem non-critical in order to preserve battery power.
No additional re-wiring of DB board required. All appliances that need to be controlled require smart control like Sonoff Basic or any other Sonoff products.
Full integration into other smart home platform’s like Tuya Smart Life and Aqara done via IFTTT and ewelink VIP.
 
Features

Extending battery time during load shedding
Reducing battery load automatically during LoadShedding
Extending battery life time by reducing battery cycles
Reducing power consumption and demand automatically based on your requirement
Automatic load recovery when power is restored
Simple scene trigger for LoadShedding Day time and Night time configurations

 
Benefits

No more outages due to invertor flat batteries.
Saving money on battery replacement due to reducing cycles with lower loads.
Load management and monitoring.
Simple integration into other smart home platforms.
Integration into most big brand aircons like Samsung and LG via a Broadlink and IFTTT.
Google and Alexa compatible.
The final peace of the smart home system that monitors Eskom power feed and manages your invertor load all in eWelink.
Simple yet so effective that the kids can’t even run your batteries flat with the microwave or kettle.
Even the hairdryer won’t be able to draw power during load sheading unless you so chose.

 
This product consists of a Sonoff device, relay and a relay base installation instructions as well as wiring diagrams.
** Assembly and installation requires a qualified electrician or solar installer only.
* Wifi 2.4Ghz and Internet required.
 
What’s in the Box

Sonoff Unit
Monitoring Relay
Relay Base
Pilot Light
Wiring Diagram with instructions
Telephonic support voucher code for installer’s only once order is placed

 
Also available for commercial installation with Sonoff wide range of products.
**New product’s will be available next week. Product kit’s will be available to Sonoff Authorised distributors, Installers and resellers.
Tested with Growatt, Mecer and Sunsynk invertors in the field for over a year. Load migration and management also tested.
Please WhatsApp us should you require more information.";2022/08/03;2022/12/19;Sonoff;Smart Switch;"Ewelink
relay
Smart Home
Smart Switch
Sonoff
Wifi
Works with Alexa
Works with Google Home";879;879;Default Title;879;879;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/loadshedder.png?v=1659531525;;;;;;;;;;Title (Default Title);;
sonoff-th16-elite-sensor-sold-separately;Sonoff TH16 Elite (Sensor sold separately);"?6-Month Temp & Humi Historical Data by Hours? Support to check the temp & hum history data by hour, day and month. Past 6-month history data can be exported in .xlsx format and accurate to hour.?Local Automatic Control?Support LAN control, the device can turn on/off automatically according to the temp & humi thresholds at different time periods. You can set 8 automatic control programs for you to save electricity bills and create comfortable surroundings.?Voice Control?Compatible with Alexa, Google Assistant. Just speak out your command, they can do on/off as you say, and check the temperature and humidity for you.?Smart Scenes?TH Origin can trigger other smart devices when the temperature and humidity reach the threshold or the device switches on or off. The device on, off, and invert can also as execute action.
Note 3: If you already have the 2.5mm Audio jack sensor (Si7021/AM2301/DS18B20) and want to use it with the new TH Origin, you can click to buy the RJ11 adapter.














";2022/07/26;2022/12/19;Sonoff;Smart Switch;"20Amp
ewelink
Relay
Sensor
Smart Switch
Sonoff
th20
Wifi
Works with Alexa
Works with Google Home";409;409;Default Title;409;459;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/th16elite_5a7ab7aa-a810-4663-b392-aff36f546c65.png?v=1658858883;;;;;;;;;;Title (Default Title);;
l3-smart-led-light-strip-kit-5m;L3 Smart LED Light Strip kit 5M (individually addressable);"?Smart RGBIC Effects?Unlike RGB, SONOFF L3 Pro RGBIC LED strip lights can display multiple colors simultaneously, creating a colorful lighting atmosphere.?44 Preset Lighting Effect Scenes?44 lighting effects are preset for your different scene needs. RGBIC strip lights always bring you richer color combinations and imagination.?Music Mode?With the built-in, highly sensitive mic, the L3 Pro RGBIC LED strip lights can synchronize to various musical rhythms.?Voice Control? Our L3 Pro strips support Google Assistant, Alexa, and SmartThings. You can change the color and its brightness and temperature through your voice. Alexa even can switch the preset scene mode in one second.?Local Control?Feel free to control your strip lights via local control,don’t worry about being limited by the Wi-Fi environment or mobile phone signal.












";2022/07/26;2022/12/19;Sonoff;LED Driver;"Ewelink
IR
LED
Smart Home
Sonoff
Wifi
Works with Alexa
Works with Google Home";799;799;Default Title;799;999;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/L3-5M-P.png?v=1658858814;;;;;;;;;;Title (Default Title);;
ths01-sensor-rj11;THS01 Sensor (RJ11);"
";2022/07/26;2022/12/19;Sonoff;Environmental Sensor;"Accessory
Black Friday
Ewelink
Sensor
Smart Home
Sonoff
Sonoff TH16
Temperature Sensor
Works with Alexa
Works with Google Home";139;139;Default Title;139;159;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/TH01.png?v=1658858521;;;;;;;;;;Title (Default Title);;
ds18b20-waterproof-temperature-sensor-probe-rj11;DS18B20 Waterproof Temperature Sensor Probe (RJ11);"
";2022/07/26;2022/12/19;Sonoff;Environmental Sensor;"Accessory
Black Friday
Ewelink
Sensor
Smart Home
Sonoff
Sonoff TH16
Temperature Sensor
Works with Alexa
Works with Google Home";99;99;Default Title;99;129;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/DS18B20.png?v=1658858343;;;;;;;;;;Title (Default Title);;
sonoff-rl560-ext-cable-for-th-units;SONOFF RL560 5M Extension (RJ11 connector);"

";2022/07/26;2022/12/19;Sonoff;Cable;"Accessory
Humidity Sensor
Sensor
Sonoff TH16
Water Proof Sensor";129;129;Default Title;129;146;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/RL560.png?v=1658858093;;;;;;;;;;Title (Default Title);;
sonoff-s-cam;SONOFF S-CAM;"?Trigger Event Recording by Sensor? With eWeLink Camera Plan(subscription sold separately), the sensor device triggers the recording of CAM Slim, such as SNZB-03 motion sensor, starts recording when detected the motion.?Motion Detection & Alarm?Alarm in your setting effective period, avoid frequent alarms in the low peak periods.?RTSP Settings? With eWeLink Camera Plan(subscription sold separately), RTSP protocol allows you to view the monitoring screen on your PC.?Two-way Audio?Respond to your family, and visitors anytime, anywhere.?Local & Cloud Storage?You can choose to save and share video with a free 30-day trial cloud storage of the Camera Plan or locally saved with SD card (sold separately).?Scene Linkage with SONOFF Device?Scene Linkage with DUALR3 smart switch, alarm when the garage door opens to scare away thieves.
Note? This camera doesn't have a power adapter included. If you would like to purchase a power adapter, please buy it at these links:


 














";2022/07/26;2022/12/19;Sonoff;Camera;"Camera
Ewelink
Indoor
Sensor
Smart Home
Sonoff
Wifi
Works with Alexa
Works with Google Home";799;799;Default Title;799;799;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/slim.png?v=1660211664;;;;;;;;;;Title (Default Title);;
sonoff-th20-original-sensor-sold-separately;Sonoff TH20 Elite (Sensor sold separately);"?6-Month Temp & Humi Historical Data by Hours? Support to check the temp & hum history data by hour, day and month. Past 6-month history data can be exported in .xlsx format and accurate to hour.?Local Automatic Control?Support LAN control, the device can turn on/off automatically according to the temp & humi thresholds at different time periods. You can set 8 automatic control programs for you to save electricity bills and create comfortable surroundings.?Voice Control?Compatible with Alexa, Google Assistant. Just speak out your command, they can do on/off as you say, and check the temperature and humidity for you.?Smart Scenes?TH Origin can trigger other smart devices when the temperature and humidity reach the threshold or the device switches on or off. The device on, off, and invert can also as execute action.
Note 3: If you already have the 2.5mm Audio jack sensor (Si7021/AM2301/DS18B20) and want to use it with the new TH Origin, you can click to buy the RJ11 adapter.














";2022/07/26;2022/12/19;Sonoff;Smart Switch;"20Amp
ewelink
Relay
Sensor
Smart Switch
Sonoff
th20
Wifi
Works with Alexa
Works with Google Home";499;499;Default Title;499;499;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/th16elite.png?v=1658857528;;;;;;;;;;Title (Default Title);;
sonoff-zigbee-e;Sonoff ZBDongle-E;"







";2022/07/26;2022/12/19;Sonoff;Smart Bridge;"Ewelink
Smart Bridge
Smart Home
Sonoff
Wifi
Works with Alexa
Works with Google Home
Zigbee";550;550;Default Title;550;550;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/zbdongle.png?v=1660211793;;;;;;;;;;Title (Default Title);;
echo-dot-3rd-gen-refurbished;Echo Dot (3rd Gen) (Refurbished);"

Echo Dot is our most popular voice-controlled speaker, now with improved sound and a new design.
Ask Alexa to play music, answer questions, read the news, check the weather, set alarms, control compatible smart home devices, and more.
Stream songs from Amazon Music, Spotify, SiriusXM, and others through the improved speaker for richer and louder sound.
Call and message almost anyone hands-free. Instantly drop in on other rooms in your home or make an announcement to every room with a compatible Echo device.
Alexa is always getting smarter and adding new skills like tracking fitness, playing games, and more.
Can hear you from across the room. And with compatible Echo devices in different rooms, you can fill your whole home with music.
Pair with a second Echo Dot (3rd gen) for stereo sound, or connect to your own speakers over Bluetooth or with a 3.5 mm audio cable.
Use your voice to turn on lights, adjust thermostats, lock doors, find TV shows, and more with compatible connected devices.
";2022/07/21;2022/10/07;Amazon;Wifi Smart Hub;"Amazon
Amazon Echo
Black Friday
Bluetooth
Smart Home
Voice Smart Controllers
Wifi";799;699;A;799;999;;B;699;999;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Valve_21ec70ff-03d6-4982-bc53-fa41ba463c44.png?v=1658404980;;;;;;;;;;Quality (A, B);;
echo-dot-4th-gen-smart-speaker-with-alexa-refurbished;Echo Dot 4th Gen | Smart speaker with Alexa (Refurbished);"

Echo Dot is our most popular voice-controlled speaker, now with improved sound and a new design.
Ask Alexa to play music, answer questions, read the news, check the weather, set alarms, control compatible smart home devices, and more.
Stream songs from Amazon Music, Spotify, SiriusXM, and others through the improved speaker for richer and louder sound.
Call and message almost anyone hands-free. Instantly drop in on other rooms in your home or make an announcement to every room with a compatible Echo device.
Alexa is always getting smarter and adding new skills like tracking fitness, playing games, and more.
Can hear you from across the room. And with compatible Echo devices in different rooms, you can fill your whole home with music.
Pair with a second Echo Dot (3rd gen) for stereo sound, or connect to your own speakers over Bluetooth or with a 3.5 mm audio cable.
Use your voice to turn on lights, adjust thermostats, lock doors, find TV shows, and more with compatible connected devices.
";2022/07/21;2022/12/19;Amazon;Wifi Smart Hub;"Amazon
Amazon Echo
Black Friday
Bluetooth
Refurbished
Smart Home
Voice Smart Controllers
Wifi";999;899;A;999;1099;;B;899;1099;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/dot4_03aa0116-6284-4243-a816-50ddb8c2af55.png?v=1658404572;;;;;;;;;;Quality (A, B);;
